date,username,tweet
5/10/2022 15:21,Bungsusan2,Om @jvdas_iskariot maaf saya unfol krn om masih follow promotor lgbt 🙏  https://t.co/gFpjB1RQtP
5/10/2022 15:21,Zanara_potrieB,"@zomet13 @corbuzier Smnjak @corbuzier buat konten ngundang LGBT prtma kali, dri situ gw udh gk nnton lg podcastnya, kaget knp modelan gituan yg diundang? Apa anda berharap kaum LGBT bisa ngsh inspirasi untuk generasi bngsa? Are you oke om? 🤨"
5/10/2022 15:21,LukeSusilo,"@FaishalIshal5 @PrinceJanvierX @Ucokkkkkkk5 @waltzwq_ apa yg mo didemo orang lgbt legal2 aja, dorce bisa merubah kelamin, pasangan gay jga banyak yg ga ditangkep selama gak pesta seks, yumi-chika yg pernah diundang podcast deddy jga aman2 aja gak ditangkep wkwkwkwk"
5/10/2022 15:21,MochAmi54429316,@CNNIndonesia Ulama di caci LGBT dipuji. BAZERp pemecah belah anak bangsa.
5/10/2022 15:21,erenn_x9,"Baca komentar dsni banyak yg homophobic. Ngakak aja si. Ngasih tau aja nih ya. Benci boleh, tapi benci berlebihan? Sampe koar2 kata2 jelek. Hati2 aja. Kalau nanti keturunan lu ada yg LGBT, dan di caci maki, lu bakal ngerasain karmanya"
5/10/2022 15:21,riskimuhardi_kp,Jangan kasih panggung LGBT di bumi Indonesia.
5/10/2022 15:21,FaishalIshal5,"@PrinceJanvierX @LukeSusilo @Ucokkkkkkk5 @waltzwq_ nope realitanya LGBT itu lahir dari pergaulan bukan terlahir dari keluarga yang religius , pergaulan yang menyesatkan dan membuat orang jadi terjerumus makannya mereka kan sembunyi sembunyi"
5/10/2022 15:21,indahsuciim11,Sering dan suka liat film gajah putih yg notabene “legal lgbt” bukan berarti 100% dukung begituan y anj ☺️
5/10/2022 15:20,AldySiBhendot,@CNNIndonesia Tidak ada tempat untuk LGBT di Indonesia
5/10/2022 15:20,BG__29,@wannabeyour69 @Oby40914121 @VIVAcoid Kalau dia memang salah ya dihukum saja. Kalau para LGBT bersedia dihukum juga nggak???? 🤣 LOLLL
5/10/2022 15:19,winer_sha,Ada satu lagi tuh sarang pekaes di sumatra juga sarang lgbt
5/10/2022 15:19,elpoghu,"@abdulrachim88 @bangZhack86 Sebetulnya jenazah LGBT itu cuma dikubur, gitu aja."
5/10/2022 15:19,tilulima,"@_cadanganmati @kangBordel @BlueHooligan_33 Punteun ieu mah ngawartosan hungkul sami jeung nu sanes, daek kop mun alim mangga, da sajalmi mah keudah saling ngelingan Selain Islam Kafir, rek dikumahakeun ge tetep KAFIR LGBT haram, rek di kumahakeun oge tetep HARAM"
5/10/2022 15:19,panjatsosialyuk,@nandasavv @SuciDarma96 Gblk apa lgbt kak?
5/10/2022 15:19,nakalkali69,@HukumDan LGBT kalau kawin nggak mungkin menghasilkan anak...tapi kok tambah banyak? Siapa yang mau disalahkan?
5/10/2022 15:19,PrinceJanvierX,"@FaishalIshal5 @LukeSusilo @Ucokkkkkkk5 @waltzwq_ gw skrg makin ngak heran sih kalau, ya, kok bisa ada LGBT terlahir di keluarga yang sangat mencaci dan anti LGBT, atau bahkan keluarga yang super religius. gw yakin gada coincidence di hidup ini. mgkin itu jalan untk mereka belajar menghargai kaum lain :)"
5/10/2022 15:18,RepelitaO,"Ustaz Khalid Basalamah: Dulu LGBT Diusir di Zaman Nabi, Sekarang Malah Jadi Artis  https://t.co/e7IBJBi2xt lewat @Onlineindo News"
5/10/2022 15:18,cintanegeriqu,@Lisaamartatara4 Ni lho Bu pencinta LGBT nya🤪  https://t.co/ApZcUoR434
5/10/2022 15:18,primapr23640960,"@Shit_Hashira @hitsviraltv Kardun itu apa bro, kalo mau nonton full d youtube, memang videonya ada semua kok, memang jelas2 ngundang orang2 LGBT"
5/10/2022 15:18,basobilalbaso,@Android_AK_47 Logika LGBT liat aja gambar👇👇👇 gitu aja koq repottt LGBT❌❌❌  https://t.co/g5rgrYblOE
5/10/2022 15:18,YaMulBuBu,Straight yg ciptain Allah LGBT juga yg ciptain Allah  yang marah² manusia (kaum straight) kadang pada gak bisa mikir dah dibilang jangan ambil Hak Menghakimi nya Allah masih aja. ckck
5/10/2022 15:18,Nurizal,@mpujayaprema LGBT MENURUT AGAMA MPU gimana hukumnya?
5/10/2022 15:18,arie_jurigh,@bangZhack86 Kasian gak punya anak yah yg lgbt 🤭😂
5/10/2022 15:17,sufiyanuarsyah,Bilqis | Winda | Ngekos | LGBT | Gus Miftah  #UnsubscribePodcastDeddy #IkatanCintaEp713 #SecretNumberNewEra   https://t.co/fCvhR7vt4J  https://t.co/XuaQ33SNQ3  https://t.co/7KXmnkA3Yv
